Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO300,"YARRA BEND PARK YARRA BEND Bluestone quarry Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO300,HO300
HO301,"YARRA BEND ROAD FAIRFIELD Fairlea Womens Prison, Yarra Bend Asylum (includes Asylum Gate Pillar, Remnant Trees)",-,-,-,-,Yes Ref No H1552,Yes,H1552,No,No,HO301,HO301
HO302,"YARRA BEND PARK YARRA BEND   Deep Rock Swimming Club, includes foundation stone and pioneer memorial stones Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO302,HO302
HO303,"101 YARRA BEND ROAD, FAIRFIELD Fairfield Hospital (former)",-,-,-,-,Yes Ref No H1878,Yes,H1878,Yes,No,HO303,HO303
HO304,"YARRA BEND ROAD YARRA BEND Yarra Bend Golf Club House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO304,HO304
HO305,"Yarra River YARRA BEND ROAD YARRA BEND Kane’s Bridge Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO305,HO305
HO306,500 AND 500A YARRA BOULEVARD BURNLEY Burnley Gardens,-,-,-,-,Yes Ref No H2052,Yes,H2052,No,No,HO306,HO306
HO307,"Yarra River YARRA BEND PARK YARRA BEND Yarra River Protectorate Station site Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,Yes,HO307,HO307
HO308,"Barkly Gardens Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO308,HO308
HO309,"Bendigo Street Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO309,HO309
HO310,"Bridge Road Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO310,HO310
HO311,"Brunswick Street Precinct, Fitzroy Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO311,HO311
HO312,"Campbell Street Precinct, Collingwood Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO312,HO312
HO313,"Charles Street Precinct, Abbotsford Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO313,HO313
HO314,"Yarra Falls Precinct Abbotsford Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO314,HO314
HO315,"Church Street Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO315,HO315
HO316,"Clifton Hill Eastern Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO316,HO316
HO317,"Clifton Hill Western Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO317,HO317
HO318,"Collingwood Slope Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO318,HO318
HO319,"Elm Grove Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO319,HO319
HO320,"Fairchild Street Precinct, Abbotsford Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO320,HO320
HO321,"Gold Street Precinct, Collingwood Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO321,HO321
HO322,"Golden Square Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO322,HO322
HO323,"Green Street Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO323,HO323
HO324,"Johnston Street Precinct, Collingwood Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO324,HO324
HO325,"Kennedy Street Precinct, Richmond Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO325,HO325
HO326,"North Carlton Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO326,HO326
HO327,"North Fitzroy Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO327,HO327
HO328,"Park Crescent Precinct, Alphington Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO328,HO328
HO329,"Princes Hill Precinct Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",No,No,No,No,No,No,,No,No,HO329,HO329
